"year","student_id","present","excusedabsent","excusedtardy","absent","tardy","truant","inschoolsuspension","suspended"
"2016","12915","26","0","0","0","2","1","0","0"
"2016","14422","29","0","0","0","0","0","0","0"
"2016","15440","30","0","0","0","0","0","0","0"
"2014","13525","130","0","0","3","22","1","0","0"
"2016","12908","29","0","0","0","0","0","0","0"
"2014","12533","159","0","0","0","20","0","0","0"
"2012","6659","0","0","0","3","39","0","0","0"
"2012","3116","0","0","0","2","16","0","0","0"
"2016","16970","6","0","0","1","1","0","0","0"
"2014","13351","173","0","0","3","2","0","0","0"
"2015","11880","175","0","0","0","1","0","0","0"
"2013","7194","136","0","0","2","37","6","0","0"
"2015","14251","160","0","0","3","3","0","0","0"
"2016","15797","27","0","0","0","2","0","0","0"
"2015","6991","173","0","0","1","0","0","0","0"
"2016","12031","19","0","0","4","5","0","0","0"
"2014","13333","140","0","0","14","27","1","0","0"
"2016","13277","26","0","0","0","1","0","0","0"
"2012","6496","0","0","0","0","12","0","0","0"
"2012","3240","0","0","0","1","1","0","0","0"
"2016","11927","30","0","0","0","0","0","0","0"
"2014","11645","176","0","0","1","0","0","0","0"
"2014","13567","134","0","0","3","4","0","0","0"
"2016","12650","19","0","0","0","9","1","0","0"
"2013","6472","178","0","0","3","0","0","0","0"
"2016","12590","11","0","0","1","10","5","0","0"
"2015","6751","176","0","0","0","0","0","0","0"
"2015","12942","165","0","0","2","9","0","0","0"
"2015","12043","170","0","0","1","4","0","0","0"
"2014","13465","161","0","0","5","0","0","0","0"
"2016","13575","28","0","0","1","1","0","0","0"
"2013","7050","182","0","0","1","0","0","0","0"
"2016","16977","6","0","0","0","2","0","0","0"
"2013","2572","174","0","0","0","1","0","0","0"
"2014","13288","177","0","0","2","2","1","0","0"
"2016","14266","30","0","0","0","0","0","0","0"
"2014","13347","42","0","0","11","112","8","0","0"
"2016","13067","27","0","0","0","0","0","0","0"
"2013","11835","91","0","0","2","76","1","0","0"
"2015","14601","165","0","0","0","2","0","0","0"
"2016","12660","29","0","0","0","0","0","0","0"
"2016","16164","28","0","0","0","0","0","0","0"
"2015","13324","158","0","0","0","8","0","0","0"
"2016","13033","27","0","0","0","0","0","0","0"
"2016","7015","30","0","0","0","0","0","0","0"
"2016","6424","25","0","0","0","3","0","0","0"
"2016","7102","29","0","0","0","0","0","0","0"
"2016","6353","28","0","0","0","1","0","0","0"
"2014","13295","158","0","0","10","2","0","0","0"
"2015","7063","127","0","0","1","46","0","0","0"
"2015","7128","161","0","0","4","2","1","0","0"
"2016","10385","23","0","0","1","5","0","0","0"
"2016","6869","29","0","0","0","1","0","0","0"
"2013","10793","162","0","0","0","20","0","0","0"
"2014","3517","167","0","0","0","5","0","0","0"
"2015","13874","176","0","0","0","1","0","0","0"
"2013","11775","170","0","0","5","0","0","0","0"
"2015","11734","179","0","0","1","0","0","0","0"
"2016","16947","5","0","0","0","2","3","0","0"
"2014","6407","169","0","0","3","4","1","0","0"
"2015","12896","161","0","0","1","1","1","0","0"
"2015","10792","172","0","0","0","0","0","0","0"
"2015","14470","170","0","0","1","2","0","0","0"
"2016","16959","10","0","0","2","0","0","0","0"
"2013","7031","183","0","0","0","0","0","0","0"
"2013","7197","183","0","0","0","0","0","0","0"
"2016","16559","14","0","0","5","3","1","0","0"
"2016","6970","30","0","0","0","0","0","0","0"
"2012","2503","0","0","0","0","13","0","0","0"
"2012","6711","0","0","0","3","22","0","0","0"
"2016","15733","27","0","0","1","0","0","0","0"
"2015","12809","175","0","0","0","0","0","0","0"
"2016","13645","27","0","0","1","0","0","0","0"
"2012","2846","0","0","0","2","25","0","0","0"
"2014","10884","170","0","0","5","0","0","0","0"
"2014","12319","170","0","0","0","1","0","0","0"
"2015","11123","174","0","0","0","0","0","0","0"
"2014","6714","163","0","0","0","9","0","0","0"
"2015","7062","108","0","0","1","65","0","0","0"
"2016","12939","29","0","0","1","1","1","0","0"
"2014","10341","85","0","0","0","2","0","0","0"
"2015","13410","158","0","0","0","9","0","0","0"
"2015","14034","66","0","0","55","32","20","0","0"
"2016","6632","29","0","0","0","0","0","0","0"
"2016","10967","18","0","0","3","7","0","0","0"
"2016","14534","28","0","0","0","0","0","0","0"
"2014","6557","182","0","0","1","0","0","0","0"
"2016","12594","28","0","0","0","1","0","0","0"
"2014","11271","172","0","0","1","2","0","0","0"
"2016","7115","28","0","0","0","0","0","0","0"
"2016","13084","31","0","0","0","0","0","0","0"
"2014","11955","55","0","0","16","11","1","0","0"
"2014","6578","171","0","0","0","2","0","0","0"
"2015","11367","171","0","0","0","1","0","0","0"
"2016","10367","25","0","0","1","1","0","0","0"
"2015","12613","164","0","0","0","10","0","0","0"
"2015","6594","170","0","0","0","1","0","0","0"
"2013","11476","182","0","0","0","0","0","0","0"
"2016","15764","25","0","0","1","3","0","0","0"
"2016","11409","28","0","0","0","0","0","0","0"
"2014","13314","165","0","0","9","1","0","0","0"
"2013","11943","156","0","1","3","8","2","0","0"
"2015","12454","141","0","0","14","5","0","0","0"
"2015","14068","176","0","0","0","0","0","0","0"
"2016","7124","29","0","0","0","0","0","0","0"
"2012","6367","0","0","0","1","1","0","0","0"
"2014","11280","172","0","0","2","0","1","0","0"
"2016","13287","28","0","0","0","1","0","0","0"
"2015","12745","166","0","0","5","2","0","0","0"
"2016","13249","28","0","0","0","1","0","0","0"
"2015","6860","170","0","0","2","1","0","0","0"
"2015","12381","123","0","0","16","21","1","0","0"
"2016","14995","28","0","0","0","0","0","0","0"
"2014","6716","174","0","0","0","0","0","0","0"
"2016","16224","29","0","0","0","0","0","0","0"
"2014","7013","170","0","0","6","6","0","0","0"
"2015","10562","173","0","0","0","1","0","0","0"
"2012","6989","0","0","0","7","0","0","0","0"
"2015","11894","11","0","0","23","80","39","0","0"
"2016","13641","28","0","0","0","0","0","0","0"
"2016","13606","29","0","0","0","0","0","0","0"
"2013","10402","174","0","0","0","0","0","0","0"
"2016","16445","21","0","0","0","5","3","0","0"
"2016","16360","4","0","0","2","0","0","0","0"
"2015","11665","166","0","1","0","3","1","0","0"
"2016","11829","14","0","0","2","1","0","0","0"
"2014","12002","177","0","0","1","0","0","0","0"
"2016","11950","30","0","0","0","0","0","0","0"
"2012","3539","0","0","0","1","1","0","0","0"
"2016","6555","29","0","0","0","0","0","0","0"
"2016","14323","29","0","0","0","0","0","0","0"
"2015","10717","173","0","0","0","0","0","0","0"
"2014","13133","172","0","0","1","9","0","0","0"
"2016","15329","29","0","0","0","0","0","0","0"
"2014","6843","165","0","0","3","3","0","0","2"
"2016","11451","27","0","0","0","0","0","0","0"
"2014","6878","132","0","0","11","26","5","0","0"
"2015","14696","26","0","0","23","7","1","0","0"
"2016","15258","28","0","0","0","0","0","0","0"
"2016","6366","29","0","0","0","0","0","0","0"
"2014","13287","175","0","0","3","2","0","0","0"
"2016","6691","28","0","0","0","0","0","0","0"
"2016","13432","26","0","0","0","2","0","0","0"
"2016","16585","15","0","0","1","8","1","0","0"
"2014","12334","120","0","1","1","42","5","0","0"
"2016","16221","24","0","0","0","3","0","0","0"
"2016","6552","26","0","0","0","0","0","0","0"
"2015","15054","92","0","0","17","42","18","0","0"
"2014","6999","86","0","0","12","73","6","0","0"
"2015","14946","174","0","0","1","1","0","0","0"
"2016","6702","21","0","0","0","8","0","0","0"
"2016","13102","30","0","0","0","2","0","0","0"
"2016","14018","24","0","0","0","5","0","0","0"
"2013","6791","166","0","0","8","2","0","0","0"
"2016","16334","28","0","0","0","0","0","0","0"
"2016","14571","20","0","0","0","6","1","0","0"
"2012","6509","0","0","0","3","2","0","0","0"
"2015","13350","161","0","0","7","1","0","0","0"
"2012","2862","0","0","0","0","5","0","0","0"
"2013","11949","173","0","0","0","1","0","0","0"
"2012","7185","0","0","0","15","16","0","0","0"
"2015","3381","171","0","0","0","2","0","0","0"
"2016","7046","29","0","0","0","0","0","0","0"
"2016","14059","25","0","0","0","1","2","0","0"
"2012","2539","0","0","0","3","20","0","0","0"
"2015","15146","132","0","0","0","37","0","0","0"
"2012","7026","0","0","0","5","0","0","0","0"
"2016","15802","25","0","0","0","1","2","0","0"
"2015","6665","162","0","0","2","3","0","0","0"
"2016","15364","29","0","0","0","0","0","0","0"
"2014","12975","184","0","0","0","0","0","0","1"
"2016","15922","29","0","0","0","0","0","0","0"
"2014","12791","173","0","0","1","4","0","0","0"
"2014","11984","160","0","2","6","7","9","0","0"
"2015","12855","168","0","0","0","3","0","0","0"
"2015","13558","150","0","0","2","1","0","0","0"
"2013","11403","169","0","0","3","3","0","0","0"
"2016","16160","25","0","0","1","3","0","0","0"
"2016","16263","17","0","0","1","11","1","0","0"
"2016","6820","29","0","0","0","0","0","0","0"
"2013","6859","173","0","0","6","0","0","0","0"
"2014","13601","34","0","0","1","2","0","0","0"
"2015","14796","142","0","0","15","6","1","0","0"
"2014","11544","167","0","0","0","8","0","0","0"
"2015","12562","175","0","0","0","0","0","0","0"
"2014","6985","181","0","0","0","1","0","0","0"
"2016","12342","29","0","0","0","0","0","0","0"
"2016","6418","24","0","0","1","0","0","0","0"
"2014","11814","166","0","0","3","9","0","0","0"
"2016","12800","29","0","0","0","0","0","0","0"
"2016","14544","28","0","0","0","1","0","0","0"
"2014","3078","171","0","0","3","1","0","0","0"
"2015","11409","150","0","0","7","0","0","0","0"
"2014","13364","161","0","0","4","6","3","0","0"
"2015","14307","128","0","0","3","36","3","0","0"
"2014","12626","181","0","0","3","0","0","0","0"
"2016","11954","27","0","0","0","0","0","0","0"
"2014","6588","158","0","0","3","20","0","0","0"
"2015","6676","174","0","0","0","0","0","0","0"
"2016","12516","14","0","0","3","4","5","0","0"
"2014","11068","173","0","0","4","6","0","0","0"
"2015","3513","153","0","0","0","22","1","0","0"
"2015","7009","49","0","0","3","25","1","0","0"
"2015","6842","163","0","0","4","1","0","0","0"
"2016","14359","28","0","0","0","0","0","0","0"
"2013","6415","178","0","0","3","0","0","0","0"
"2015","7182","165","0","0","2","5","0","0","0"
"2014","12339","179","0","0","0","0","0","0","0"
"2016","3490","27","0","0","0","2","0","0","0"
"2014","12734","176","0","0","0","6","0","0","0"
"2014","6959","183","0","0","0","0","0","0","0"
"2016","14071","29","0","0","0","0","0","0","0"
"2016","14174","12","0","0","8","4","0","0","0"
"2013","11909","148","0","0","2","22","1","0","0"
"2015","12649","120","0","0","14","37","0","0","0"
"2015","14453","143","0","0","8","22","3","0","0"
"2016","16389","25","0","0","1","2","0","0","0"
"2014","11642","179","0","0","5","0","0","0","0"
"2015","11561","134","0","0","1","37","0","0","0"
"2012","6639","0","0","0","10","1","0","0","3"
"2016","16591","8","0","0","1","16","0","0","0"
"2012","3434","8","0","0","2","0","0","0","0"
"2016","11530","29","0","0","0","0","0","0","0"
"2014","12321","166","0","0","0","9","0","0","0"
"2013","11469","137","0","0","9","28","0","0","0"
"2012","3298","0","0","0","4","2","0","0","0"
"2012","3023","0","0","0","3","13","0","0","0"
"2013","10765","175","0","0","1","0","1","0","0"
"2015","15153","156","0","0","2","4","0","0","0"
"2016","15431","25","0","0","0","2","1","0","0"
"2012","2943","0","0","0","0","2","0","0","5"
"2014","3363","157","0","0","8","9","1","0","0"
"2015","3939","171","0","0","0","7","1","0","0"
"2015","13003","24","0","0","5","131","15","0","0"
"2016","16458","26","0","0","0","3","0","0","0"
"2015","3463","175","0","0","0","0","0","0","0"
"2016","15007","26","0","0","1","1","0","0","0"
"2015","14794","71","0","0","8","64","23","0","0"
"2016","14321","26","0","0","1","0","0","0","0"
"2013","10913","152","0","0","3","22","0","0","0"
"2013","3384","170","0","0","6","2","0","0","0"
"2015","6740","139","0","0","5","17","3","0","0"
"2012","6441","0","0","0","6","1","0","0","0"
"2013","3054","171","0","0","6","2","0","0","0"
"2013","3946","176","0","0","3","1","0","0","0"
"2014","7054","163","0","0","1","18","2","0","0"
"2014","6761","164","0","0","8","6","0","0","0"
"2016","16497","14","0","0","0","15","0","0","0"
"2016","14141","29","0","0","0","1","0","0","0"
"2016","12652","29","0","0","0","0","0","0","0"
"2014","12660","180","0","0","1","2","0","0","0"
"2014","6684","170","0","0","3","1","0","0","0"
"2015","15109","167","0","0","1","0","1","0","0"
"2013","6700","178","0","0","0","0","0","0","0"
"2014","3966","63","0","0","20","67","26","0","0"
"2015","7075","141","0","0","14","16","0","0","0"
"2012","3953","0","0","0","0","4","0","0","0"
"2015","3427","85","0","0","2","0","1","0","0"
"2015","13822","138","0","0","6","25","0","0","0"
"2016","6477","27","0","0","0","0","0","0","0"
"2015","7185","166","0","0","2","1","0","0","0"
"2012","6780","0","0","0","1","15","0","0","0"
"2015","14482","172","0","0","2","0","0","0","0"
"2016","15892","29","0","0","0","0","0","0","0"
"2015","11148","170","0","0","2","0","0","0","0"
"2015","13875","173","0","0","1","0","0","0","0"
"2015","15056","15","0","0","0","2","0","0","0"
"2014","6696","169","0","0","0","0","0","0","0"
"2015","12962","72","0","0","3","80","14","0","0"
"2016","12979","28","0","0","0","0","0","0","0"
"2014","3411","169","0","0","4","0","1","0","0"
"2015","14422","165","0","0","0","0","0","0","0"
"2015","14467","165","0","0","0","5","1","0","0"
"2012","3250","0","0","0","2","38","0","0","2"
"2014","13047","160","0","0","10","10","1","0","0"
"2014","13268","171","0","0","2","5","0","0","0"
"2015","14386","167","0","0","1","3","0","0","0"
"2013","7008","173","0","0","4","1","0","0","0"
"2014","12038","71","0","0","19","74","11","0","0"
"2016","12508","29","0","0","0","0","0","0","0"
"2015","14692","169","0","0","0","6","0","0","0"
"2016","16473","23","0","0","1","3","0","0","0"
"2016","14382","18","0","0","3","4","0","0","0"
"2016","6848","23","0","0","0","2","0","0","0"
"2013","11951","168","0","0","0","1","0","0","0"
"2015","12921","172","0","0","1","1","0","0","0"
"2012","6753","0","0","0","1","1","0","0","0"
"2016","13955","26","0","0","0","0","0","0","0"
"2013","2837","164","0","0","10","0","0","1","0"
"2012","3417","0","0","0","9","1","0","0","0"
"2012","3457","0","0","0","17","56","0","0","0"
"2014","13240","145","0","0","7","22","1","0","0"
"2016","13906","27","0","0","0","0","0","0","0"
"2014","13316","172","0","0","1","1","0","0","0"
"2014","6892","144","0","0","4","22","4","0","0"
"2013","6858","165","0","0","2","8","0","0","0"
"2012","2931","0","0","0","26","23","0","0","0"
"2013","7183","146","0","0","11","26","0","0","0"
"2012","3456","0","0","0","0","1","0","0","0"
"2016","14401","28","0","0","0","0","0","0","0"
"2012","2504","0","0","0","1","0","0","0","0"
"2013","3242","173","0","0","1","0","0","1","0"
"2016","14160","29","0","0","0","1","0","0","0"
"2016","16859","22","0","0","1","1","0","0","0"
"2014","11895","102","0","0","51","6","17","0","0"
"2015","10348","168","0","0","0","0","1","0","0"
"2015","14364","159","0","0","2","10","0","0","0"
"2015","12418","170","0","0","0","0","0","0","0"
"2016","13139","29","0","0","0","0","0","0","0"
"2016","14701","28","0","0","0","0","1","0","0"
"2015","14762","150","0","0","2","11","2","0","0"
"2016","11106","29","0","0","0","0","0","0","0"
"2016","16516","29","0","0","0","0","0","0","0"
"2014","12973","159","0","0","0","12","1","0","0"
"2015","6754","154","0","0","7","10","2","0","0"
"2016","15854","28","0","0","0","0","0","0","0"
"2016","12522","23","0","0","0","3","0","0","0"
"2014","13533","118","0","0","19","17","1","0","0"
"2014","3339","151","0","0","0","12","0","0","0"
"2013","11116","178","0","0","3","1","0","0","0"
"2016","16706","30","0","0","0","0","0","0","0"
"2016","12646","29","0","0","0","0","0","0","0"
"2016","16209","27","0","0","0","2","0","0","0"
"2016","13305","29","0","0","0","0","0","0","0"
"2016","13135","29","0","0","0","0","0","0","0"
"2014","12467","164","0","0","6","5","0","0","0"
"2014","10288","165","0","0","3","7","0","0","0"
"2014","3340","106","0","0","14","19","5","0","0"
"2016","15208","27","0","0","0","0","0","0","0"
"2014","6349","182","0","0","1","0","0","0","0"
"2014","3116","165","0","0","1","8","0","0","0"
"2015","12448","171","0","0","1","0","0","0","0"
"2014","13482","80","0","0","8","70","2","0","0"
"2016","6786","30","0","0","0","0","0","0","0"
"2012","6673","0","0","0","4","45","0","0","0"
"2016","12925","29","0","0","0","0","0","0","0"
"2015","14881","170","0","0","1","0","0","0","0"
"2016","10717","28","0","0","1","0","0","0","0"
"2015","14651","170","0","0","2","0","1","0","0"
"2016","15739","19","0","0","0","11","0","0","0"
"2015","14495","163","0","0","0","12","0","0","0"
"2013","3955","130","0","0","2","32","0","0","0"
"2015","12637","3","0","0","0","0","0","0","0"
"2016","16176","24","0","0","2","1","0","0","0"
"2013","10526","164","0","0","9","2","0","0","0"
"2016","14524","29","0","0","0","1","0","0","0"
"2016","6516","25","0","0","0","0","0","0","0"
"2014","11411","172","0","0","3","3","0","0","0"
"2015","14325","168","0","0","2","0","0","0","0"
"2015","12542","165","0","0","3","3","0","0","0"
"2016","7074","29","0","0","0","0","0","0","0"
"2016","14545","28","0","0","0","0","0","0","0"
"2014","6403","49","0","0","3","0","0","0","0"
"2014","11693","164","0","0","6","2","0","0","0"
"2015","6654","170","0","0","0","0","0","0","0"
"2016","13419","29","0","0","0","0","0","0","0"
"2016","6581","24","0","0","1","2","0","0","0"
"2016","14890","24","0","0","1","1","0","0","0"
"2016","16883","23","0","0","0","1","0","0","0"
"2014","11113","156","0","0","1","18","0","0","0"
"2016","12981","28","0","0","0","0","0","0","0"
"2012","3275","0","0","0","8","35","0","0","0"
"2013","11892","178","0","0","0","0","0","0","0"
"2014","12499","178","0","0","1","0","0","0","0"
"2013","6407","166","0","0","13","4","0","0","0"
"2014","13480","126","0","0","20","16","1","0","0"
"2013","3516","173","0","0","1","1","0","0","0"
"2013","11904","115","0","0","7","54","0","0","0"
"2014","12575","167","0","0","1","3","0","0","0"
"2015","14906","119","0","0","9","27","14","0","0"
"2015","14408","144","0","0","8","16","0","0","0"
"2016","6998","29","0","0","0","0","0","0","0"
"2015","12400","154","0","0","0","20","0","0","0"
"2015","10436","169","0","0","1","4","0","0","0"
"2013","10721","176","0","0","5","1","0","0","0"
"2016","14177","29","0","0","0","0","0","0","0"
"2016","11362","27","0","0","0","0","0","0","0"
"2013","2680","170","0","0","5","1","1","0","0"
"2014","13420","170","0","0","0","3","1","0","0"
"2014","3098","156","0","0","6","12","1","0","0"
"2016","10785","29","0","0","0","0","0","0","0"
"2016","15585","28","0","0","0","0","0","0","0"
"2016","15482","29","0","0","0","0","0","0","0"
"2016","13364","22","0","0","0","6","0","0","0"
"2016","6999","23","0","0","3","2","2","0","0"
"2016","15499","30","0","0","0","0","0","0","0"
"2015","6599","173","0","0","0","3","1","0","0"
"2015","14940","174","0","0","0","0","0","0","0"
"2016","15659","29","0","0","0","0","0","0","0"
"2014","6456","159","0","0","9","16","0","0","0"
"2016","6603","28","0","0","0","0","0","0","0"
"2012","3130","0","0","0","0","14","0","0","0"
"2016","13490","29","0","0","0","0","0","0","0"
"2013","11761","56","0","3","8","0","1","0","0"
"2014","6741","161","0","0","3","19","0","0","0"
"2015","12950","154","0","0","5","12","0","0","0"
"2016","15049","25","0","0","0","4","0","0","0"
"2016","13040","27","0","0","0","2","0","0","0"
"2016","14283","26","0","0","0","3","0","0","0"
"2013","6395","180","0","0","2","0","0","0","0"
"2014","13544","126","0","0","0","26","4","0","0"
"2015","3526","124","0","0","16","26","0","0","0"
"2016","12905","25","0","0","1","2","0","0","0"
"2013","10425","172","0","0","7","0","1","0","0"
"2014","10957","149","0","0","3","21","0","0","0"
"2012","2646","0","0","0","5","16","0","0","0"
"2016","15432","6","0","0","4","14","6","0","0"
"2012","6638","0","0","0","2","9","0","0","0"
"2013","6358","182","0","0","0","0","0","0","0"
"2015","15078","105","0","0","12","28","3","0","0"
"2014","7178","181","0","0","0","3","0","0","0"
"2014","6692","3","0","0","1","0","0","0","0"
"2013","6996","123","0","1","18","31","6","0","0"
"2015","13982","171","0","0","1","0","0","0","0"
"2016","15060","29","0","0","0","0","0","0","0"
"2015","14764","169","0","0","1","5","0","0","0"
"2015","15235","103","0","0","5","16","10","0","0"
"2014","12675","175","0","0","0","0","0","0","0"
"2016","15957","29","0","0","0","0","0","0","0"
"2015","14475","156","0","0","1","7","0","0","0"
"2015","6512","175","0","0","0","0","0","0","0"
"2013","2338","175","0","0","0","5","0","0","0"
"2015","12602","171","0","0","0","1","0","0","0"
"2015","14708","161","0","0","9","0","2","0","0"
"2012","3328","8","0","0","0","1","0","0","0"
"2015","13054","115","0","0","14","34","12","0","0"
"2013","3482","163","0","0","3","13","0","0","0"
"2013","11169","168","0","0","3","4","0","0","0"
"2014","3199","167","0","0","1","7","0","0","0"
"2014","3189","44","0","0","6","0","0","0","0"
"2016","13957","28","0","0","0","0","0","0","0"
"2016","10793","29","0","0","0","0","0","0","0"
"2016","13259","13","0","0","1","13","1","0","0"
"2012","6340","0","0","0","6","0","0","0","0"
"2016","14149","26","0","0","0","1","0","0","0"
"2012","6586","0","0","0","0","2","0","0","0"
"2016","16225","28","0","0","1","0","0","0","0"
"2015","6748","164","0","0","0","0","0","0","0"
"2016","15463","29","0","0","0","0","0","0","0"
"2013","11293","175","0","0","1","2","2","0","0"
"2015","12647","164","0","0","1","4","0","0","0"
"2015","12919","172","0","0","1","0","0","0","0"
"2013","3465","164","0","0","1","9","1","0","0"
"2012","2742","0","0","0","3","20","0","0","0"
"2015","12437","167","0","0","3","0","0","0","0"
"2012","6997","0","0","0","4","0","0","0","0"
"2015","11532","172","0","0","0","2","0","0","0"
"2016","14654","30","0","0","0","0","0","0","0"
"2013","6466","174","0","0","5","0","0","0","0"
"2012","7161","0","0","0","3","0","0","0","0"
"2016","11320","29","0","0","0","0","0","0","0"
"2016","14508","21","0","0","2","5","0","0","0"
"2016","15508","28","0","0","0","0","0","0","0"
"2016","16463","26","0","0","2","1","1","0","0"
"2012","6640","0","0","0","1","6","0","0","0"
"2016","13500","29","0","0","0","0","0","0","0"
"2015","10794","171","0","0","0","0","0","0","0"
"2016","11313","28","0","0","0","0","0","0","0"
"2016","13309","27","0","0","0","1","0","0","0"
"2013","11666","94","0","0","22","55","2","0","0"
"2012","7056","0","0","0","1","3","0","0","0"
"2014","6458","174","0","0","7","1","1","0","0"
"2016","14445","27","0","0","0","1","0","0","0"
"2013","11921","52","0","0","28","56","41","0","0"
"2015","3531","140","0","0","16","14","1","0","0"
"2016","13336","27","0","0","0","1","0","0","0"
"2015","12621","169","0","0","1","1","0","0","0"
"2014","3093","161","0","0","7","6","1","0","0"
"2015","12405","130","0","0","16","24","5","0","0"
"2015","13351","171","0","0","1","1","0","0","0"
"2015","12961","151","0","0","2","18","0","0","0"
"2016","15408","26","0","0","0","2","0","0","0"
"2016","13903","19","0","0","1","8","0","0","0"
"2013","3339","120","0","0","2","30","1","0","0"
"2014","7009","103","0","1","5","47","9","0","0"
"2014","13416","0","0","0","7","2","1","0","0"
"2015","14886","112","0","0","1","0","0","0","0"
"2015","6545","138","0","0","3","27","0","0","0"
"2016","13446","28","0","0","0","1","0","0","0"
"2015","12713","170","0","0","4","1","0","0","0"
"2016","16441","28","0","0","0","1","0","0","0"
"2016","13983","29","0","0","0","0","0","0","0"
"2016","14992","29","0","0","0","0","0","0","0"
"2013","12001","8","0","0","6","2","0","0","0"
"2013","6881","172","0","0","0","0","0","0","0"
"2016","14608","28","0","0","0","1","0","0","0"
"2013","6772","178","0","0","5","0","0","0","0"
"2013","7124","177","0","0","3","1","0","0","0"
"2013","7048","182","0","0","0","1","0","0","0"
"2015","14995","168","0","0","7","0","0","0","0"
"2013","11983","41","0","0","4","3","0","0","0"
"2014","3272","44","0","0","6","125","0","0","0"
"2015","13266","168","0","0","0","1","0","0","0"
"2015","15249","74","0","0","10","7","1","0","0"
"2012","3933","1","0","0","5","74","0","0","3"
"2015","11541","173","0","0","1","1","0","0","0"
"2014","13385","164","0","0","9","7","0","0","0"
"2015","13645","163","0","0","2","5","1","0","0"
"2015","7066","172","0","0","2","1","0","0","0"
"2015","6453","162","0","0","1","4","0","0","0"
"2013","11442","167","0","0","3","9","0","0","0"
"2013","10816","120","0","0","5","54","4","0","0"
"2013","6361","180","0","0","1","1","0","0","0"
"2016","15578","30","0","0","0","0","0","0","0"
"2016","12356","26","0","0","0","0","0","0","0"
"2015","15025","37","0","0","16","33","18","0","0"
"2016","15844","29","0","0","0","0","0","0","0"
"2012","3053","0","0","0","0","2","0","0","0"
"2014","13575","143","0","0","5","8","0","0","0"
"2014","6409","172","0","0","2","0","0","0","1"
"2015","6484","171","0","0","0","1","0","0","0"
"2015","12529","141","0","0","2","28","1","0","0"
"2016","6496","29","0","0","0","0","0","0","0"
"2014","6372","185","0","0","0","0","0","0","0"
"2015","14644","168","0","0","0","2","0","0","0"
"2016","13866","28","0","0","1","0","0","0","0"
"2016","15970","29","0","0","0","0","0","0","0"
"2013","6461","158","0","0","8","3","1","0","0"
"2013","11782","177","0","0","0","0","0","0","0"
"2016","16170","29","0","0","0","0","0","0","0"
"2016","15746","28","0","0","0","0","0","0","0"
"2014","12604","173","0","0","1","1","0","0","0"
"2016","6553","27","0","0","0","0","0","0","0"
"2012","6344","0","0","0","1","0","0","0","0"
"2016","14058","27","0","0","0","1","1","0","0"
"2016","16237","6","0","0","4","17","2","0","0"
"2014","12848","177","0","0","5","3","0","0","0"
"2014","7130","179","0","0","4","0","0","0","0"
"2016","14203","27","0","0","0","1","0","0","0"
"2014","13363","172","0","0","2","0","1","0","0"
"2013","6868","175","0","0","0","5","0","0","0"
"2013","6366","176","0","0","0","1","0","0","0"
"2013","6978","156","0","1","6","17","1","0","0"
"2013","7110","170","0","0","1","2","0","0","0"
"2016","12400","28","0","0","0","2","0","0","0"
"2014","12709","182","0","0","1","0","0","0","0"
"2016","15972","29","0","0","0","0","0","0","0"
"2014","13387","170","0","0","3","5","0","0","0"
"2014","10576","153","0","0","12","5","2","0","0"
"2016","15325","28","0","0","0","0","0","0","0"
"2013","11017","177","0","0","1","5","0","0","0"
"2016","13346","29","0","0","0","0","0","0","0"
"2016","15557","29","0","0","0","0","0","0","0"
"2012","6489","0","0","0","3","3","0","0","0"
"2013","10695","139","0","0","6","21","2","0","0"
"2015","13561","159","0","0","1","0","2","0","0"
"2012","6505","0","0","0","2","6","0","0","0"
"2012","6617","0","0","0","2","0","0","0","0"
"2016","7173","27","0","0","0","1","0","0","0"
"2013","11591","178","0","0","0","1","0","0","0"
"2015","12609","163","0","0","5","6","0","0","0"
"2014","12963","162","0","0","0","13","0","0","0"
"2014","11932","141","0","2","3","34","1","0","0"
"2015","15242","11","0","0","23","67","10","0","0"
"2014","13600","54","0","0","1","0","0","0","0"
"2016","11664","28","0","0","0","1","0","0","0"
"2013","7078","163","0","0","9","0","0","0","0"
"2014","12017","175","0","0","3","1","0","0","0"
"2015","14276","172","0","0","0","1","0","0","0"
"2015","6772","137","0","0","3","33","0","0","0"
"2016","16519","29","0","0","0","0","0","0","0"
"2012","3155","0","0","0","4","30","0","0","0"
"2013","6558","175","0","0","0","7","0","0","0"
"2012","6390","0","0","0","2","2","0","0","0"
"2016","11148","29","0","0","0","0","0","0","0"
"2016","14861","21","0","0","3","1","0","0","0"
"2014","7133","172","0","1","1","7","1","0","0"
"2016","16965","10","0","0","0","0","0","0","0"
"2014","10486","120","0","0","2","59","0","0","0"
"2015","3429","170","0","0","3","1","0","0","0"
"2015","15255","80","0","0","4","1","0","0","0"
"2012","6733","0","0","0","7","19","0","0","0"
"2015","13199","159","0","0","4","5","2","0","0"
"2016","14134","29","0","0","0","1","0","0","0"
"2014","12552","148","0","0","1","26","3","0","0"
"2016","12488","15","0","0","0","13","0","0","0"
"2016","16641","22","0","0","5","0","0","0","0"
"2013","2796","44","0","0","14","2","0","0","2"
"2014","11759","137","0","0","14","17","10","0","0"
"2012","6397","0","0","0","5","4","0","0","0"
"2014","13167","177","0","0","3","2","0","0","0"
