caaspp_2015_math_id,student_id,caaspp_2015_math_testGradeLevel,caaspp_2015_math_testTakenText,caaspp_2015_assessType,caaspp_2015_math_testDate,caaspp_2015_math_performanceLevel,caaspp_2015_math_performanceLevelText,caaspp_2015_math_scaleScore,caaspp_2015_math_errorbandMin,caaspp_2015_math_errorbandMax,caaspp_2015_math_cluster1Text,caaspp_2015_math_cluster1PerformanceLevel,caaspp_2015_math_cluster1PerformanceLevelText,caaspp_2015_math_cluster1ScaleScore,caaspp_2015_math_cluster1errorbandMin,caaspp_2015_math_cluster1errorbandMax,caaspp_2015_math_cluster2Text,caaspp_2015_math_cluster2PerformanceLevel,caaspp_2015_math_cluster2PerformanceLevelText,caaspp_2015_math_cluster2ScaleScore,caaspp_2015_math_cluster2errorbandMin,caaspp_2015_math_cluster2errorbandMax,caaspp_2015_math_cluster3Text,caaspp_2015_math_cluster3PerformanceLevel,caaspp_2015_math_cluster3PerformanceLevelText,caaspp_2015_math_cluster3ScaleScore,caaspp_2015_math_cluster3errorbandMin,caaspp_2015_math_cluster3errorbandMax,caaspp_2015_math_cluster4Text,caaspp_2015_math_cluster4PerformanceLevel,caaspp_2015_math_cluster4PerformanceLevelText,caaspp_2015_math_cluster4ScaleScore,caaspp_2015_math_cluster4errorbandMin,caaspp_2015_math_cluster4errorbandMax,caaspp_2015_assessYear,caaspp_2015_assessSubject,caaspp_2015_assessmentGuid,caaspp_2015_assessmentLocationID,caaspp_2015_assessmentLocation,caaspp_2015_assessmentLevel,caaspp_2015_math_accomASL,caaspp_2015_math_accomNoiseBuffer,caaspp_2015_math_accomPrintOnDemandItems,caaspp_2015_math_accomBraille,caaspp_2015_math_accomClosedCaptioning,caaspp_2015_math_accomTextToSpeech,caaspp_2015_math_accomAbacus,caaspp_2015_math_accomAlternateResponseOptions,caaspp_2015_math_accomCalc,caaspp_2015_math_accomMultiplicationTable,caaspp_2015_math_accomPrintOnDemand,caaspp_2015_math_accomReadAloud,caaspp_2015_math_accomScribe,caaspp_2015_math_accomSpeechToText,caaspp_2015_math_accomStreamLineMode
1087,14945,5,Grade 5 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2493,2471,2515,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
836,14772,5,Grade 5 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2417,2391,2443,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
251,6988,4,Grade 4 Math Summative (Final),Summative (Final),\N,3,Standard Met,2519,2502,2536,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1298,13920,5,Grade 5 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2462,2440,2484,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
356,6719,3,Grade 3 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2576,2556,2596,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
194,7013,4,Grade 4 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2456,2439,2473,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
187,11017,3,Grade 3 Math Summative (Final),Summative (Final),\N,3,Standard Met,2448,2430,2466,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1991,6458,5,Grade 5 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2608,2591,2625,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
456,6913,4,Grade 4 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2430,2411,2449,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1361,6443,5,Grade 5 Math Summative (Final),Summative (Final),\N,3,Standard Met,2571,2552,2590,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
81,6572,3,Grade 3 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2394,2377,2411,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
514,7186,3,Grade 3 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2336,2317,2355,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
651,7035,4,Grade 4 Math Summative (Final),Summative (Final),\N,3,Standard Met,2545,2527,2563,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
446,11434,3,Grade 3 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2548,2531,2565,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1575,6505,5,Grade 5 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2596,2578,2614,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
388,13409,3,Grade 3 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2588,2567,2609,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1395,13919,5,Grade 5 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2611,2592,2630,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1543,3344,8,Grade 8 Math Summative (Final),Summative (Final),\N,3,Standard Met,2611,2589,2633,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1338,3505,7,Grade 7 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2562,2538,2586,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1192,3101,8,Grade 8 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2504,2471,2537,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1542,3082,8,Grade 8 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2504,2474,2534,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1565,3222,8,Grade 8 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2503,2471,2535,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1263,3126,8,Grade 8 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2541,2512,2570,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
161,6644,3,Grade 3 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2503,2485,2521,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
646,7174,3,Grade 3 Math Summative (Final),Summative (Final),\N,3,Standard Met,2456,2439,2473,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1952,6474,5,Grade 5 Math Summative (Final),Summative (Final),\N,3,Standard Met,2555,2537,2573,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2289,3950,8,Grade 8 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2556,2529,2583,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1411,3402,8,Grade 8 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2670,2649,2691,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2314,11986,8,Grade 8 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2514,2484,2544,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2261,3932,8,Grade 8 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2551,2523,2579,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2067,11517,8,Grade 8 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2446,2415,2477,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1204,3530,8,Grade 8 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2734,2712,2756,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
865,11699,7,Grade 7 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2354,2305,2403,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1514,3480,8,Grade 8 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2660,2639,2681,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1389,10371,6,Grade 6 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2464,2437,2491,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1556,3447,8,Grade 8 Math Summative (Final),Summative (Final),\N,3,Standard Met,2632,2609,2655,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1343,10619,7,Grade 7 Math Summative (Final),Summative (Final),\N,3,Standard Met,2572,2550,2594,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1557,11180,7,Grade 7 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2649,2630,2668,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
795,12936,7,Grade 7 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2479,2450,2508,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1589,3407,8,Grade 8 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2519,2490,2548,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
819,11666,7,Grade 7 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2381,2337,2425,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1527,10781,8,Grade 8 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2660,2637,2683,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
52,6538,4,Grade 4 Math Interim Comprehensive,INTERIM COMPREHENSIVE,3/18/2015,4,Level 4,2566,2541,2591,Concepts & Procedures,3,Above Standard,2544,2510,2577,Problem Solving and Modeling & Data Analysis,3,Above Standard,2580,2538,2622,Communicating Reasoning,3,Above Standard,2603,2538,2668,\N,\N,\N,\N,\N,\N,2015,Math,49c6e6a6-b2f1-11e4-83e0-406c8f57365f,ca-f43c-3,,4,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
284,6538,4,Grade 4 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2591,2575,2607,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2215,10885,7,Grade 7 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2379,2338,2420,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1397,3336,8,Grade 8 Math Summative (Final),Summative (Final),\N,3,Standard Met,2628,2606,2650,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1622,14606,5,Grade 5 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2579,2561,2597,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
829,12778,7,Grade 7 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2395,2355,2435,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1584,10330,7,Grade 7 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2294,2250,2366,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1175,13298,7,Grade 7 Math Summative (Final),Summative (Final),\N,3,Standard Met,2602,2582,2622,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
815,12928,7,Grade 7 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2440,2408,2472,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
680,15188,7,Grade 7 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2431,2398,2464,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1454,10610,7,Grade 7 Math Summative (Final),Summative (Final),\N,3,Standard Met,2576,2553,2599,Concepts & Procedures,2,At/Near Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2169,12744,6,Grade 6 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2347,2309,2385,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,1,Below Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
832,13395,7,Grade 7 Math Summative (Final),Summative (Final),\N,2,Standard Nearly Met,2519,2492,2546,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
993,10751,6,Grade 6 Math Summative (Final),Summative (Final),\N,4,Standard Exceeded,2740,2714,2748,Concepts & Procedures,3,Above Standard,\N,\N,\N,Problem Solving & Modeling/Data,3,Above Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
2245,3971,8,Grade 8 Math Summative (Final),Summative (Final),\N,1,Standard Not Met,2471,2436,2506,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,1,Below Standard,\N,\N,\N,Communicating Reasoning,2,At/Near Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
1578,11482,8,Grade 8 Math Summative (Final),Summative (Final),\N,3,Standard Met,2592,2566,2618,Concepts & Procedures,1,Below Standard,\N,\N,\N,Problem Solving & Modeling/Data,2,At/Near Standard,\N,\N,\N,Communicating Reasoning,3,Above Standard,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
